fecha,habilidad,actividad,minutos,modo,cantidad,unidad,notas
2026-07-18,reading,Lectura rápida (fluidez),8,activo,1152,palabras,
2026-07-20,vocabulary,Anki FSRS,17,activo,165,tarjetas,
2026-07-20,grammar,Gramática + ejercicios,8,activo,,,
2026-07-20,reading,Lectura extensiva (graded reader),12,activo,1440,palabras,
2026-07-20,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-07-20,speaking,Conversación (humano),29,activo,,,
2026-07-20,speaking,4/3/2,12,activo,,,
2026-07-20,reading,Lectura rápida (fluidez),6,activo,954,palabras,
2026-07-21,vocabulary,Anki FSRS,19,activo,130,tarjetas,
2026-07-21,speaking,Pronunciación / shadowing,9,activo,,,
2026-07-21,reading,Lectura extensiva (graded reader),12,activo,1284,palabras,
2026-07-21,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-21,writing,Texto + feedback (Write & Improve),33,activo,231,palabras,
2026-07-21,writing,Escritura cronometrada,8,activo,80,palabras,
2026-07-21,reading,Lectura rápida (fluidez),8,activo,1208,palabras,
2026-07-21,listening,Escucha pasiva (bus / tareas),35,pasivo,,minutos-audio,
2026-07-23,vocabulary,Anki FSRS,15,activo,153,tarjetas,
2026-07-23,speaking,Pronunciación / shadowing,12,activo,,,
2026-07-23,reading,Lectura extensiva (graded reader),12,activo,1488,palabras,
2026-07-23,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-07-23,writing,Reescritura + lista de errores,24,activo,,,
2026-07-23,writing,Escritura cronometrada,11,activo,99,palabras,
2026-07-23,reading,Lectura rápida (fluidez),10,activo,1420,palabras,
2026-07-23,listening,Escucha pasiva (bus / tareas),40,pasivo,,minutos-audio,
2026-07-24,vocabulary,Anki FSRS,19,activo,143,tarjetas,
2026-07-24,grammar,Gramática + ejercicios,10,activo,,,
2026-07-24,reading,Lectura extensiva (graded reader),15,activo,2010,palabras,
2026-07-24,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-07-24,speaking,Conversación (humano),34,activo,,,
2026-07-24,speaking,4/3/2,15,activo,,,
2026-07-24,reading,Lectura rápida (fluidez),9,activo,1386,palabras,
2026-07-25,vocabulary,Anki FSRS,15,activo,129,tarjetas,
2026-07-25,reading,Lectura extensiva (graded reader),16,activo,1712,palabras,
2026-07-25,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-25,reading,Lectura rápida (fluidez),6,activo,882,palabras,
2026-07-26,vocabulary,Anki FSRS,22,activo,122,tarjetas,
2026-07-26,reading,Lectura extensiva (graded reader),12,activo,1392,palabras,
2026-07-26,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-07-26,listening,Escucha pasiva (bus / tareas),39,pasivo,,minutos-audio,
2026-07-27,vocabulary,Anki FSRS,17,activo,133,tarjetas,
2026-07-27,grammar,Gramática + ejercicios,11,activo,,,
2026-07-27,reading,Lectura extensiva (graded reader),15,activo,1995,palabras,
2026-07-27,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-07-27,speaking,Conversación (humano),30,activo,,,
2026-07-27,speaking,4/3/2,15,activo,,,
2026-07-27,reading,Lectura rápida (fluidez),8,activo,1168,palabras,
2026-07-28,vocabulary,Anki FSRS,18,activo,117,tarjetas,
2026-07-28,speaking,Pronunciación / shadowing,11,activo,,,
2026-07-28,reading,Lectura extensiva (graded reader),13,activo,1599,palabras,
2026-07-28,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-07-28,writing,Texto + feedback (Write & Improve),28,activo,168,palabras,
2026-07-28,writing,Escritura cronometrada,9,activo,108,palabras,
2026-07-28,reading,Lectura rápida (fluidez),8,activo,1328,palabras,
2026-07-29,vocabulary,Anki FSRS,16,activo,125,tarjetas,
2026-07-29,grammar,Gramática + ejercicios,9,activo,,,
2026-07-29,reading,Lectura extensiva (graded reader),12,activo,1428,palabras,
2026-07-29,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-29,speaking,Conversación (IA),22,activo,,,
2026-07-29,speaking,4/3/2,13,activo,,,
2026-07-29,reading,Lectura rápida (fluidez),9,activo,1368,palabras,
2026-07-30,vocabulary,Anki FSRS,20,activo,169,tarjetas,
2026-07-30,speaking,Pronunciación / shadowing,11,activo,,,
2026-07-30,reading,Lectura extensiva (graded reader),14,activo,1498,palabras,
2026-07-30,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-07-30,writing,Reescritura + lista de errores,18,activo,,,
2026-07-30,writing,Escritura cronometrada,10,activo,90,palabras,
2026-07-30,reading,Lectura rápida (fluidez),8,activo,1264,palabras,
2026-07-30,listening,Escucha pasiva (bus / tareas),40,pasivo,,minutos-audio,
2026-07-31,vocabulary,Anki FSRS,15,activo,107,tarjetas,
2026-07-31,grammar,Gramática + ejercicios,11,activo,,,
2026-07-31,reading,Lectura extensiva (graded reader),15,activo,1665,palabras,
2026-07-31,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-07-31,speaking,Conversación (humano),29,activo,,,
2026-07-31,speaking,4/3/2,13,activo,,,
2026-07-31,reading,Lectura rápida (fluidez),7,activo,1155,palabras,
2026-07-31,listening,Escucha pasiva (bus / tareas),40,pasivo,,minutos-audio,
2026-08-01,vocabulary,Anki FSRS,16,activo,170,tarjetas,
2026-08-01,reading,Lectura extensiva (graded reader),16,activo,2000,palabras,
2026-08-01,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-08-01,reading,Lectura rápida (fluidez),8,activo,1360,palabras,
2026-08-01,listening,Escucha pasiva (bus / tareas),26,pasivo,,minutos-audio,
2026-08-02,vocabulary,Anki FSRS,22,activo,122,tarjetas,
2026-08-02,reading,Lectura extensiva (graded reader),13,activo,1651,palabras,
2026-08-02,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-08-03,vocabulary,Anki FSRS,15,activo,112,tarjetas,
2026-08-03,grammar,Gramática + ejercicios,9,activo,,,
2026-08-03,reading,Lectura extensiva (graded reader),14,activo,1806,palabras,
2026-08-03,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-08-03,speaking,Conversación (humano),33,activo,,,
2026-08-03,speaking,4/3/2,13,activo,,,
2026-08-03,reading,Lectura rápida (fluidez),9,activo,1503,palabras,
2026-08-04,listening,Escucha pasiva (bus / tareas),43,pasivo,,minutos-audio,
2026-08-05,vocabulary,Anki FSRS,22,activo,148,tarjetas,
2026-08-05,grammar,Gramática + ejercicios,9,activo,,,
2026-08-05,reading,Lectura extensiva (graded reader),17,activo,2261,palabras,
2026-08-05,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-08-05,speaking,Conversación (IA),24,activo,,,
2026-08-05,speaking,4/3/2,14,activo,,,
2026-08-05,reading,Lectura rápida (fluidez),9,activo,1350,palabras,
2026-08-06,vocabulary,Anki FSRS,16,activo,117,tarjetas,
2026-08-06,speaking,Pronunciación / shadowing,9,activo,,,
2026-08-06,reading,Lectura extensiva (graded reader),15,activo,1605,palabras,
2026-08-06,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-08-06,writing,Reescritura + lista de errores,23,activo,,,
2026-08-06,writing,Escritura cronometrada,10,activo,90,palabras,
2026-08-06,reading,Lectura rápida (fluidez),8,activo,1248,palabras,
2026-08-06,listening,Escucha pasiva (bus / tareas),34,pasivo,,minutos-audio,
2026-08-07,vocabulary,Anki FSRS,21,activo,125,tarjetas,
2026-08-07,grammar,Gramática + ejercicios,11,activo,,,
2026-08-07,reading,Lectura extensiva (graded reader),12,activo,1332,palabras,
2026-08-07,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-08-07,speaking,Conversación (humano),26,activo,,,
2026-08-07,speaking,4/3/2,15,activo,,,
2026-08-07,reading,Lectura rápida (fluidez),6,activo,870,palabras,
2026-08-07,listening,Escucha pasiva (bus / tareas),41,pasivo,,minutos-audio,
2026-08-08,vocabulary,Anki FSRS,17,activo,150,tarjetas,
2026-08-08,reading,Lectura extensiva (graded reader),13,activo,1573,palabras,
2026-08-08,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-08-08,reading,Lectura rápida (fluidez),10,activo,1660,palabras,
2026-08-09,vocabulary,Anki FSRS,22,activo,164,tarjetas,
2026-08-09,reading,Lectura extensiva (graded reader),17,activo,1819,palabras,
2026-08-09,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-08-09,listening,Escucha pasiva (bus / tareas),36,pasivo,,minutos-audio,
2026-08-10,vocabulary,Anki FSRS,17,activo,156,tarjetas,
2026-08-10,grammar,Gramática + ejercicios,12,activo,,,
2026-08-10,reading,Lectura extensiva (graded reader),18,activo,2412,palabras,
2026-08-10,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-08-10,speaking,Conversación (humano),29,activo,,,
2026-08-10,speaking,4/3/2,14,activo,,,
2026-08-10,reading,Lectura rápida (fluidez),9,activo,1530,palabras,
2026-08-11,listening,Escucha pasiva (bus / tareas),24,pasivo,,minutos-audio,
2026-08-12,listening,Escucha pasiva (bus / tareas),38,pasivo,,minutos-audio,
2026-08-13,vocabulary,Anki FSRS,21,activo,158,tarjetas,
2026-08-13,speaking,Pronunciación / shadowing,8,activo,,,
2026-08-13,reading,Lectura extensiva (graded reader),16,activo,1680,palabras,
2026-08-13,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-08-13,writing,Reescritura + lista de errores,24,activo,,,
2026-08-13,writing,Escritura cronometrada,8,activo,72,palabras,
2026-08-13,reading,Lectura rápida (fluidez),10,activo,1690,palabras,
2026-08-13,listening,Escucha pasiva (bus / tareas),45,pasivo,,minutos-audio,
2026-08-14,listening,Escucha pasiva (bus / tareas),22,pasivo,,minutos-audio,
2026-08-15,vocabulary,Anki FSRS,16,activo,158,tarjetas,
2026-08-15,reading,Lectura extensiva (graded reader),15,activo,1770,palabras,
2026-08-15,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-08-15,reading,Lectura rápida (fluidez),9,activo,1332,palabras,
2026-08-15,listening,Escucha pasiva (bus / tareas),35,pasivo,,minutos-audio,
2026-08-16,vocabulary,Anki FSRS,21,activo,150,tarjetas,
2026-08-16,reading,Lectura extensiva (graded reader),16,activo,1840,palabras,
2026-08-16,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-08-16,listening,Escucha pasiva (bus / tareas),39,pasivo,,minutos-audio,
2026-08-17,vocabulary,Anki FSRS,19,activo,106,tarjetas,
2026-08-17,grammar,Gramática + ejercicios,8,activo,,,
2026-08-17,reading,Lectura extensiva (graded reader),12,activo,1332,palabras,
2026-08-17,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-08-17,speaking,Conversación (humano),28,activo,,,
2026-08-17,speaking,4/3/2,12,activo,,,
2026-08-17,reading,Lectura rápida (fluidez),8,activo,1200,palabras,
2026-08-18,vocabulary,Anki FSRS,22,activo,103,tarjetas,
2026-08-18,speaking,Pronunciación / shadowing,11,activo,,,
2026-08-18,reading,Lectura extensiva (graded reader),17,activo,2091,palabras,
2026-08-18,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-08-18,writing,Texto + feedback (Write & Improve),33,activo,231,palabras,
2026-08-18,writing,Escritura cronometrada,9,activo,108,palabras,
2026-08-18,reading,Lectura rápida (fluidez),6,activo,912,palabras,
2026-08-19,vocabulary,Anki FSRS,17,activo,158,tarjetas,
2026-08-19,grammar,Gramática + ejercicios,9,activo,,,
2026-08-19,reading,Lectura extensiva (graded reader),18,activo,2250,palabras,
2026-08-19,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-08-19,speaking,Conversación (IA),21,activo,,,
2026-08-19,speaking,4/3/2,13,activo,,,
2026-08-19,reading,Lectura rápida (fluidez),10,activo,1590,palabras,
2026-08-19,listening,Escucha pasiva (bus / tareas),24,pasivo,,minutos-audio,
2026-08-20,vocabulary,Anki FSRS,20,activo,113,tarjetas,
2026-08-20,speaking,Pronunciación / shadowing,10,activo,,,
2026-08-20,reading,Lectura extensiva (graded reader),16,activo,1840,palabras,
2026-08-20,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-08-20,writing,Reescritura + lista de errores,21,activo,,,
2026-08-20,writing,Escritura cronometrada,9,activo,81,palabras,
2026-08-20,reading,Lectura rápida (fluidez),7,activo,1176,palabras,
2026-08-20,listening,Escucha pasiva (bus / tareas),43,pasivo,,minutos-audio,
2026-08-21,vocabulary,Anki FSRS,21,activo,102,tarjetas,
2026-08-21,grammar,Gramática + ejercicios,11,activo,,,
2026-08-21,reading,Lectura extensiva (graded reader),18,activo,2430,palabras,
2026-08-21,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-08-21,speaking,Conversación (humano),33,activo,,,
2026-08-21,speaking,4/3/2,13,activo,,,
2026-08-21,reading,Lectura rápida (fluidez),7,activo,1064,palabras,
2026-08-22,vocabulary,Anki FSRS,16,activo,115,tarjetas,
2026-08-22,reading,Lectura extensiva (graded reader),16,activo,2016,palabras,
2026-08-22,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-08-22,reading,Lectura rápida (fluidez),8,activo,1144,palabras,
2026-08-23,vocabulary,Anki FSRS,20,activo,154,tarjetas,
2026-08-23,reading,Lectura extensiva (graded reader),17,activo,2227,palabras,
2026-08-23,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-08-24,vocabulary,Anki FSRS,15,activo,94,tarjetas,
2026-08-24,grammar,Gramática + ejercicios,12,activo,,,
2026-08-24,reading,Lectura extensiva (graded reader),16,activo,1936,palabras,
2026-08-24,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-08-24,speaking,Conversación (humano),32,activo,,,
2026-08-24,speaking,4/3/2,13,activo,,,
2026-08-24,reading,Lectura rápida (fluidez),7,activo,1015,palabras,
2026-08-24,listening,Escucha pasiva (bus / tareas),25,pasivo,,minutos-audio,
2026-08-25,vocabulary,Anki FSRS,19,activo,102,tarjetas,
2026-08-25,speaking,Pronunciación / shadowing,12,activo,,,
2026-08-25,reading,Lectura extensiva (graded reader),12,activo,1308,palabras,
2026-08-25,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-08-25,writing,Texto + feedback (Write & Improve),32,activo,160,palabras,
2026-08-25,writing,Escritura cronometrada,8,activo,88,palabras,
2026-08-25,reading,Lectura rápida (fluidez),9,activo,1386,palabras,
2026-08-25,listening,Escucha pasiva (bus / tareas),31,pasivo,,minutos-audio,
2026-08-26,vocabulary,Anki FSRS,20,activo,91,tarjetas,
2026-08-26,grammar,Gramática + ejercicios,8,activo,,,
2026-08-26,reading,Lectura extensiva (graded reader),18,activo,1998,palabras,
2026-08-26,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-08-26,speaking,Conversación (IA),24,activo,,,
2026-08-26,speaking,4/3/2,15,activo,,,
2026-08-26,reading,Lectura rápida (fluidez),8,activo,1304,palabras,
2026-08-26,listening,Escucha pasiva (bus / tareas),26,pasivo,,minutos-audio,
2026-08-27,vocabulary,Anki FSRS,16,activo,155,tarjetas,
2026-08-27,speaking,Pronunciación / shadowing,8,activo,,,
2026-08-27,reading,Lectura extensiva (graded reader),14,activo,1862,palabras,
2026-08-27,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-08-27,writing,Reescritura + lista de errores,24,activo,,,
2026-08-27,writing,Escritura cronometrada,12,activo,120,palabras,
2026-08-27,reading,Lectura rápida (fluidez),10,activo,1580,palabras,
2026-08-28,vocabulary,Anki FSRS,19,activo,125,tarjetas,
2026-08-28,grammar,Gramática + ejercicios,8,activo,,,
2026-08-28,reading,Lectura extensiva (graded reader),17,activo,2176,palabras,
2026-08-28,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-08-28,speaking,Conversación (humano),27,activo,,,
2026-08-28,speaking,4/3/2,15,activo,,,
2026-08-28,reading,Lectura rápida (fluidez),7,activo,1176,palabras,
2026-08-28,listening,Escucha pasiva (bus / tareas),37,pasivo,,minutos-audio,
2026-08-29,vocabulary,Anki FSRS,21,activo,113,tarjetas,
2026-08-29,reading,Lectura extensiva (graded reader),15,activo,1665,palabras,
2026-08-29,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-08-29,reading,Lectura rápida (fluidez),7,activo,994,palabras,
2026-08-30,vocabulary,Anki FSRS,16,activo,91,tarjetas,
2026-08-30,reading,Lectura extensiva (graded reader),14,activo,1750,palabras,
2026-08-30,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-08-30,listening,Escucha pasiva (bus / tareas),28,pasivo,,minutos-audio,
2026-09-01,vocabulary,Anki FSRS,21,activo,162,tarjetas,
2026-09-01,speaking,Pronunciación / shadowing,9,activo,,,
2026-09-01,reading,Lectura extensiva (graded reader),16,activo,1712,palabras,
2026-09-01,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-09-01,writing,Texto + feedback (Write & Improve),33,activo,264,palabras,
2026-09-01,writing,Escritura cronometrada,9,activo,81,palabras,
2026-09-01,reading,Lectura rápida (fluidez),9,activo,1422,palabras,
2026-09-01,listening,Escucha pasiva (bus / tareas),39,pasivo,,minutos-audio,
2026-09-02,vocabulary,Anki FSRS,18,activo,122,tarjetas,
2026-09-02,grammar,Gramática + ejercicios,11,activo,,,
2026-09-02,reading,Lectura extensiva (graded reader),15,activo,1815,palabras,
2026-09-02,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-09-02,speaking,Conversación (IA),21,activo,,,
2026-09-02,speaking,4/3/2,15,activo,,,
2026-09-02,reading,Lectura rápida (fluidez),6,activo,858,palabras,
2026-09-02,listening,Escucha pasiva (bus / tareas),28,pasivo,,minutos-audio,
2026-09-03,listening,Escucha pasiva (bus / tareas),36,pasivo,,minutos-audio,
2026-09-04,vocabulary,Anki FSRS,16,activo,146,tarjetas,
2026-09-04,grammar,Gramática + ejercicios,8,activo,,,
2026-09-04,reading,Lectura extensiva (graded reader),16,activo,1984,palabras,
2026-09-04,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-09-04,speaking,Conversación (humano),25,activo,,,
2026-09-04,speaking,4/3/2,15,activo,,,
2026-09-04,reading,Lectura rápida (fluidez),7,activo,1064,palabras,
2026-09-04,listening,Escucha pasiva (bus / tareas),25,pasivo,,minutos-audio,
2026-09-05,vocabulary,Anki FSRS,15,activo,144,tarjetas,
2026-09-05,reading,Lectura extensiva (graded reader),15,activo,1770,palabras,
2026-09-05,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-09-05,reading,Lectura rápida (fluidez),10,activo,1520,palabras,
2026-09-05,listening,Escucha pasiva (bus / tareas),31,pasivo,,minutos-audio,
2026-09-06,vocabulary,Anki FSRS,22,activo,124,tarjetas,
2026-09-06,reading,Lectura extensiva (graded reader),16,activo,2144,palabras,
2026-09-06,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-09-07,vocabulary,Anki FSRS,15,activo,91,tarjetas,
2026-09-07,grammar,Gramática + ejercicios,9,activo,,,
2026-09-07,reading,Lectura extensiva (graded reader),16,activo,1696,palabras,
2026-09-07,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-09-07,speaking,Conversación (humano),27,activo,,,
2026-09-07,speaking,4/3/2,15,activo,,,
2026-09-07,reading,Lectura rápida (fluidez),9,activo,1269,palabras,
2026-09-08,vocabulary,Anki FSRS,15,activo,164,tarjetas,
2026-09-08,speaking,Pronunciación / shadowing,10,activo,,,
2026-09-08,reading,Lectura extensiva (graded reader),12,activo,1560,palabras,
2026-09-08,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-09-08,writing,Texto + feedback (Write & Improve),31,activo,248,palabras,
2026-09-08,writing,Escritura cronometrada,10,activo,100,palabras,
2026-09-08,reading,Lectura rápida (fluidez),6,activo,936,palabras,
2026-09-08,listening,Escucha pasiva (bus / tareas),45,pasivo,,minutos-audio,
2026-09-09,vocabulary,Anki FSRS,22,activo,108,tarjetas,
2026-09-09,grammar,Gramática + ejercicios,9,activo,,,
2026-09-09,reading,Lectura extensiva (graded reader),16,activo,2032,palabras,
2026-09-09,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-09-09,speaking,Conversación (IA),18,activo,,,
2026-09-09,speaking,4/3/2,15,activo,,,
2026-09-09,reading,Lectura rápida (fluidez),9,activo,1287,palabras,
